comment,date,drug,effectiveness,ease of use,satisfaction
"It took many many goes to begin to feel okay after taking these tabs.  I began on 1tab a day and this immediately made me sleepy.  Id find myself tired all the time which was very unnatural for me a fit person.  I went back to my doc after a week to say how I am now fatigued who said try taking at night.  So I began taking 1tab a day at night, before bed.  I then started to have consistent very vivid (nightmarish) dreams.  Fortunately this lasted 2weeks.  Id also wake up tired and take a while to get into my day.  I was crabby and could get annoyed very easily, then Id be happy and spritely by midmorning. I went back to the docs again.  This time he said, take 1/2 a tab in the morning.  I did this for about 4-6weeks and noticed that this was helpful.  Although, I could feel in my body when the 24hours was up as I begin to have blurriness and feel lethargic mentally.  I went back to my doc for a last time who said, ok, change to 1/2 a tab at night. I have been on half a tab for the past year now. (weight is 52-58kg.  fluctuates.  Average weight 56kg) I still dislike taking medication and I want to stop.  ",7/6/2014 12:46:14 AM,citalopram oral,4.0,2.0,3.0
"involuntary quivering, loss of focus.",7/2/2014 1:26:09 PM,citalopram oral,3.0,5.0,1.0
"I was on this for two years for depression/anxiety.  At first it worked, but I had to keep increasing my dose and finally it just quit working completely.  Not only was I JUST as depressed as before, but I also gained 25 pounds and can't lose any more than 5 pounds after having been off if for four months.  I do believe it has done something to my metabolism and really hope I can get my body to return to normal.  If I could go back in time, I would NEVER have gotten on this horrible drug.  I will never take an antidepressant again. ",7/2/2014 12:57:39 PM,citalopram oral,1.0,4.0,1.0
"Husband died suddenly, been on Citalopram since. I think it works best if you take it about an hour before getting up.",6/19/2014 2:31:54 AM,citalopram oral,5.0,5.0,5.0
Depression has greatly increased,6/5/2014 11:06:26 AM,citalopram oral,1.0,5.0,1.0
"I have been on this med for over 10 yrs and don't remember specific side effects early on other than dry mouth.  I notice that I have completely lost interest in sex (but am also menopausal, so which caused that?  idk)  I have had horrible weight gain over the years and like so many others have tried to go off the medication and cannot.  I can tell (as my husband can) if I forgot to take it or if I am even LATE taking it on a particular day.  A couple of years ago my doc added bupropion as the citalopram did not seem to be as effective anymore.  I do feel though, that my quality of life has been much improved with this med.  ",6/2/2014 2:27:52 PM,citalopram oral,4.0,5.0,4.0
"Adjusting to 10mg of Cipralex was odd, it disoriented me. I was in a daze for a week. However, after three weeks, my mood was substantially lifted. 

I highly recommend this anti-depressant for depression sufferers. 

I have never felt so normal in such a long time. But I developed a weird sleep problem. I'd sleep 14 hours a night. I couldn't get out of bed otherwise. I don't know if it's my condition or if it was Cipralex. 

I could only fully and actively function for a good 2-3 hours each day. Other times, I was sleepy and tired. Just constantly fatigued. 

I talked to my doctor about trying Prozac and he thought it was a good experiment. But I'm very hesitant after seeing the plentiful terrible reviews on WebMD of Prozac. 

Maybe I should stick with this sleeping problem than risk all of those seemingly commonly experienced side effects.",6/2/2014 2:19:16 AM,citalopram oral,5.0,5.0,3.0
dealing with chronic pain daily and went into a deep depression. This product helped me to recover so that I could work at least part time.,5/29/2014 3:35:10 PM,citalopram oral,4.0,5.0,4.0
"I reviewed my first few days on this drug under the name KAT. It started out with I had been on Cymbalta....
Any who, I stopped taking the Citalopram after week 3 (and a 1/2) and went back to Cymbalta. My reasons for the switch are this. #1 I became increasingly forgetful or would blank out very important work details. Not like me at all to forget jobs! #2 I started to have involuntary muscle tightening. #3 I yawned uncontrollably at times. Other than those problems it did help my anxiety but it was not the answer for me. I was able to work through the sleeplessness at early morning Hours I had listed in my first review and noticed no other side effect. But the ones I did experience were unacceptable. So I guess I will shell out the big bucks for the med that is right for me. ",5/26/2014 9:37:09 AM,citalopram oral,4.0,5.0,3.0
sleep,5/24/2014 10:25:11 PM,citalopram oral,3.0,3.0,3.0
for some reason this medacation makes me have a iner outer body feeling like i have been on a hard hung over drunk.,5/22/2014 5:54:14 PM,citalopram oral,2.0,3.0,1.0
Was ordered for my anxiety and PTSD with clonazepam. Got tachycardia and kind of manic. Switched to Effexor SR and that gave me a 4 day migraine. Now just take the clonazepam until life situation changes. Works for me. Never felt clinically depressed so that may be why it gave me adverse effects.,5/14/2014 9:44:31 PM,citalopram oral,1.0,5.0,1.0
"I took Celexa for 3 years in combination with Lamictal for Bipolar Type 2.  I felt like I was myself again, the whole time I took it.  It seemed to bring up my mood in a way that the mood stabilizer did not.  I didn't experience any negative side effects.   I am now coming off of it (reduced to 30mg for a month, 20mg, for two months, 10mg for two months, and it's been nearly 2 weeks off of it.  The withdrawal symptoms seem to be irritability, nausea, and depression...so basically back to where I was before taking it!  I highly recommend this medication.",5/9/2014 9:37:32 AM,citalopram oral,5.0,5.0,5.0
"My son was prescribed this medicine, 20 mg, for panic attackes, anxiety and depression.  He took the medicine as directed for 18 days...and on that 18th day, ended up taking his own life on Saturday April 5, 2014 at 1:15PM.  He was only 28 years old.  These medications are prescribed to help you...not help you decide to end your life.  I will never get over this!!!!!!!!!!!!!!!!!",5/7/2014 3:18:24 PM,citalopram oral,1.0,1.0,1.0
"I was on Cymbalta several years ago for depression and anxiety due to life experiences and I felt as I should. I felt ok, still with emotion but ok and not overwhelmed. I moved to a new state 7 years ago and could not afford my med for a very long time due to layoffs, no insurance, etc. I have recently been able to go back and restart on Citalopram after realizing that I still suffer from anxiety, occasional panic attacks, slight depression and irritability. I am only on day 3...... Day 1; Took 20mg on Friday night before bed, woke up at 3am and could not get back to sleep (this to me is very upsetting because I have struggled for the last few years with sleep issues and recently purchased a new tempurpedic mattress that has totally fixed that problem, now I'm back to not sleeping all night)  I was lethargic and made very deliberate and slow moves all day, although I felt fine. Day 2; Same problem after taking it at night woke up between 3 and 5 AM and could not get back to sleep. The rest of the day however, I felt just fine, no more grogginess just normal. Day 3; Woke up again at 4/5 am but had taken a melatonin before I went to bed and I was able to fall back asleep. Tonight,  I will be taking the melatonin earlier this evening and my 20mg Citalopram right before I close my eyes! So far I feel fine except I did realize when I drink coffee on an empty stomach I get very tired and once I eat I fell fine again. I haven't had any major irritability, stress or anxiety since taking this but still a few weird and uncomfortable thoughts, which is mild for my incredibly over active brain. I am also having hot/cold flashes but it isn't that bothersome. So far, so good.  It has also completely curbed my nicotine urge which is fantastic since I was on my 11 attempt to quit. I absolutely need more time to see if this med follows through or falls short and will revisit my review in another 3 weeks. ",5/5/2014 10:20:59 AM,citalopram oral,3.0,5.0,3.0
"It worked quick in my system I've had no side effects, and it keeps me chilled in the midst of great stress. I truly love it",5/4/2014 9:24:11 PM,citalopram oral,5.0,5.0,5.0
This drug had a significant positive impact on my life.  There were many minor side affects at first but the went away for the most part.,5/3/2014 10:35:03 PM,citalopram oral,5.0,5.0,4.0
Taking this for past 5 yrs and still at same dosage. This medicine just keeps me from having anxiety attacks. No side affects.,5/1/2014 11:27:42 PM,citalopram oral,4.0,4.0,4.0
"The combonation of this drug with another has been extrimiey helpful for my mood swings.Although it took many years and a lot of bad years to find the right combo.My advice if you go on something and it doesnt work move on.What dosent work for you might work great for someone else,vise versa.",4/27/2014 4:16:46 PM,citalopram oral,5.0,5.0,5.0
"I have been taking Celexa for around 8 years for Migraines and slight depression. I have to agree with the others that everytime the generic form is changed (different pill colors and shapes) I seem to experience a lot of side effects. The last generic form is a pinkish pill shaped like a football. I have had so much anxiety and anger issues that I decided to quit taking it and NO issues with the anxiety or anger since. I feel the generic forms are NOT the same as the original Celexa. I wish this wasn't the case. Unforutunetly the insurances have the last say in our health and wellness.
",4/23/2014 9:27:39 PM,citalopram oral,3.0,4.0,2.0
